训练 8 篇 / 验证 2 篇

=== memoryless　参数 53.4K ===
  ep0 train loss 0.6838 acc 0.0075 | val 头内Δacc +0.0115 **全局Δacc -0.0010** | alpha 0.9990
  ep1 train loss 0.6829 acc 0.0105 | val 头内Δacc +0.0129 **全局Δacc +0.0028** | alpha 0.9990
  ep2 train loss 0.6827 acc 0.0091 | val 头内Δacc +0.0124 **全局Δacc +0.0041** | alpha 0.9990
  ep3 train loss 0.6821 acc 0.0096 | val 头内Δacc +0.0136 **全局Δacc +0.0078** | alpha 0.9990
  ep4 train loss 0.6821 acc 0.0106 | val 头内Δacc +0.0139 **全局Δacc +0.0074** | alpha 0.9990
  ep5 train loss 0.6812 acc 0.0116 | val 头内Δacc +0.0145 **全局Δacc +0.0071** | alpha 0.9990
  ep6 train loss 0.6813 acc 0.0117 | val 头内Δacc +0.0149 **全局Δacc +0.0071** | alpha 0.9990
  ep7 train loss 0.6803 acc 0.0128 | val 头内Δacc +0.0150 **全局Δacc +0.0095** | alpha 0.9990
  ep8 train loss 0.6797 acc 0.0127 | val 头内Δacc +0.0151 **全局Δacc +0.0108** | alpha 0.9990
  ep9 train loss 0.6790 acc 0.0135 | val 头内Δacc +0.0152 **全局Δacc +0.0104** | alpha 0.9990
  ep10 train loss 0.6788 acc 0.0132 | val 头内Δacc +0.0153 **全局Δacc +0.0090** | alpha 0.9990
  ep11 train loss 0.6785 acc 0.0133 | val 头内Δacc +0.0153 **全局Δacc +0.0090** | alpha 0.9990
  ep12 train loss 0.6797 acc 0.0133 | val 头内Δacc +0.0150 **全局Δacc +0.0094** | alpha 0.9990
  ep13 train loss 0.6778 acc 0.0135 | val 头内Δacc +0.0146 **全局Δacc +0.0087** | alpha 0.9990
  ep14 train loss 0.6774 acc 0.0129 | val 头内Δacc +0.0143 **全局Δacc +0.0084** | alpha 0.9990
  ep15 train loss 0.6793 acc 0.0131 | val 头内Δacc +0.0142 **全局Δacc +0.0081** | alpha 0.9990
  ep16 train loss 0.6778 acc 0.0132 | val 头内Δacc +0.0139 **全局Δacc +0.0067** | alpha 0.9990
  ep17 train loss 0.6780 acc 0.0126 | val 头内Δacc +0.0140 **全局Δacc +0.0074** | alpha 0.9990
  ep18 train loss 0.6782 acc 0.0131 | val 头内Δacc +0.0137 **全局Δacc +0.0074** | alpha 0.9990
  ep19 train loss 0.6792 acc 0.0128 | val 头内Δacc +0.0135 **全局Δacc +0.0077** | alpha 0.9990
  ep20 train loss 0.6786 acc 0.0128 | val 头内Δacc +0.0131 **全局Δacc +0.0074** | alpha 0.9990
  ep21 train loss 0.6782 acc 0.0123 | val 头内Δacc +0.0132 **全局Δacc +0.0074** | alpha 0.9990
  ep22 train loss 0.6775 acc 0.0129 | val 头内Δacc +0.0131 **全局Δacc +0.0074** | alpha 0.9990
  ep23 train loss 0.6771 acc 0.0123 | val 头内Δacc +0.0130 **全局Δacc +0.0074** | alpha 0.9990
  ep24 train loss 0.6769 acc 0.0127 | val 头内Δacc +0.0129 **全局Δacc +0.0077** | alpha 0.9990
  ep25 train loss 0.6771 acc 0.0126 | val 头内Δacc +0.0129 **全局Δacc +0.0084** | alpha 0.9990
  ep26 train loss 0.6771 acc 0.0125 | val 头内Δacc +0.0130 **全局Δacc +0.0091** | alpha 0.9990
  ep27 train loss 0.6769 acc 0.0129 | val 头内Δacc +0.0129 **全局Δacc +0.0091** | alpha 0.9990
  ep28 train loss 0.6772 acc 0.0127 | val 头内Δacc +0.0128 **全局Δacc +0.0091** | alpha 0.9990
  ep29 train loss 0.6773 acc 0.0124 | val 头内Δacc +0.0127 **全局Δacc +0.0091** | alpha 0.9990
  ep30 train loss 0.6775 acc 0.0125 | val 头内Δacc +0.0126 **全局Δacc +0.0098** | alpha 0.9990
  ep31 train loss 0.6766 acc 0.0124 | val 头内Δacc +0.0125 **全局Δacc +0.0102** | alpha 0.9990
  ep32 train loss 0.6759 acc 0.0129 | val 头内Δacc +0.0126 **全局Δacc +0.0098** | alpha 0.9990
  ep33 train loss 0.6751 acc 0.0126 | val 头内Δacc +0.0127 **全局Δacc +0.0105** | alpha 0.9990
  ep34 train loss 0.6759 acc 0.0134 | val 头内Δacc +0.0128 **全局Δacc +0.0108** | alpha 0.9990
  ep35 train loss 0.6758 acc 0.0131 | val 头内Δacc +0.0129 **全局Δacc +0.0105** | alpha 0.9990
  ep36 train loss 0.6743 acc 0.0130 | val 头内Δacc +0.0129 **全局Δacc +0.0108** | alpha 0.9990
  ep37 train loss 0.6760 acc 0.0133 | val 头内Δacc +0.0129 **全局Δacc +0.0105** | alpha 0.9990
  ep38 train loss 0.6750 acc 0.0134 | val 头内Δacc +0.0132 **全局Δacc +0.0108** | alpha 0.9990
  ep39 train loss 0.6745 acc 0.0137 | val 头内Δacc +0.0133 **全局Δacc +0.0108** | alpha 0.9990

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  memoryless  头内 +0.0133   全局 +0.0108
==============================================================================
