训练 8 篇 / 验证 2 篇

=== memoryless　参数 53.4K ===
  ep0 train loss 0.6820 acc 0.0081 | val 头内Δacc +0.0091 **全局Δacc +0.0069** | alpha 0.9990
  ep1 train loss 0.6815 acc 0.0091 | val 头内Δacc +0.0108 **全局Δacc +0.0051** | alpha 0.9990
  ep2 train loss 0.6808 acc 0.0084 | val 头内Δacc +0.0089 **全局Δacc +0.0047** | alpha 0.9990
  ep3 train loss 0.6797 acc 0.0065 | val 头内Δacc +0.0097 **全局Δacc +0.0047** | alpha 0.9990
  ep4 train loss 0.6802 acc 0.0076 | val 头内Δacc +0.0097 **全局Δacc +0.0051** | alpha 0.9990
  ep5 train loss 0.6806 acc 0.0073 | val 头内Δacc +0.0098 **全局Δacc +0.0051** | alpha 0.9990
  ep6 train loss 0.6795 acc 0.0078 | val 头内Δacc +0.0102 **全局Δacc +0.0044** | alpha 0.9990
  ep7 train loss 0.6799 acc 0.0089 | val 头内Δacc +0.0103 **全局Δacc +0.0064** | alpha 0.9990
  ep8 train loss 0.6792 acc 0.0081 | val 头内Δacc +0.0103 **全局Δacc +0.0070** | alpha 0.9990
  ep9 train loss 0.6797 acc 0.0089 | val 头内Δacc +0.0104 **全局Δacc +0.0074** | alpha 0.9990
  ep10 train loss 0.6790 acc 0.0089 | val 头内Δacc +0.0103 **全局Δacc +0.0068** | alpha 0.9990
  ep11 train loss 0.6791 acc 0.0088 | val 头内Δacc +0.0099 **全局Δacc +0.0058** | alpha 0.9990
  ep12 train loss 0.6794 acc 0.0085 | val 头内Δacc +0.0094 **全局Δacc +0.0061** | alpha 0.9990
  ep13 train loss 0.6786 acc 0.0085 | val 头内Δacc +0.0093 **全局Δacc +0.0062** | alpha 0.9990
  ep14 train loss 0.6790 acc 0.0081 | val 头内Δacc +0.0091 **全局Δacc +0.0065** | alpha 0.9990
  ep15 train loss 0.6791 acc 0.0085 | val 头内Δacc +0.0087 **全局Δacc +0.0064** | alpha 0.9990
  ep16 train loss 0.6777 acc 0.0083 | val 头内Δacc +0.0086 **全局Δacc +0.0064** | alpha 0.9990
  ep17 train loss 0.6780 acc 0.0081 | val 头内Δacc +0.0085 **全局Δacc +0.0064** | alpha 0.9990
  ep18 train loss 0.6776 acc 0.0084 | val 头内Δacc +0.0083 **全局Δacc +0.0057** | alpha 0.9990
  ep19 train loss 0.6784 acc 0.0077 | val 头内Δacc +0.0083 **全局Δacc +0.0061** | alpha 0.9990
  ep20 train loss 0.6787 acc 0.0083 | val 头内Δacc +0.0082 **全局Δacc +0.0067** | alpha 0.9990
  ep21 train loss 0.6779 acc 0.0084 | val 头内Δacc +0.0081 **全局Δacc +0.0074** | alpha 0.9990
  ep22 train loss 0.6775 acc 0.0084 | val 头内Δacc +0.0082 **全局Δacc +0.0081** | alpha 0.9990
  ep23 train loss 0.6772 acc 0.0083 | val 头内Δacc +0.0081 **全局Δacc +0.0084** | alpha 0.9990
  ep24 train loss 0.6776 acc 0.0079 | val 头内Δacc +0.0081 **全局Δacc +0.0095** | alpha 0.9990
  ep25 train loss 0.6767 acc 0.0088 | val 头内Δacc +0.0081 **全局Δacc +0.0092** | alpha 0.9990
  ep26 train loss 0.6759 acc 0.0086 | val 头内Δacc +0.0081 **全局Δacc +0.0083** | alpha 0.9990
  ep27 train loss 0.6758 acc 0.0085 | val 头内Δacc +0.0082 **全局Δacc +0.0086** | alpha 0.9990
  ep28 train loss 0.6764 acc 0.0088 | val 头内Δacc +0.0081 **全局Δacc +0.0086** | alpha 0.9990
  ep29 train loss 0.6766 acc 0.0089 | val 头内Δacc +0.0083 **全局Δacc +0.0089** | alpha 0.9990
  ep30 train loss 0.6748 acc 0.0090 | val 头内Δacc +0.0082 **全局Δacc +0.0089** | alpha 0.9990
  ep31 train loss 0.6747 acc 0.0089 | val 头内Δacc +0.0083 **全局Δacc +0.0086** | alpha 0.9990
  ep32 train loss 0.6744 acc 0.0090 | val 头内Δacc +0.0084 **全局Δacc +0.0083** | alpha 0.9990
  ep33 train loss 0.6752 acc 0.0094 | val 头内Δacc +0.0085 **全局Δacc +0.0083** | alpha 0.9990
  ep34 train loss 0.6748 acc 0.0092 | val 头内Δacc +0.0087 **全局Δacc +0.0086** | alpha 0.9990
  ep35 train loss 0.6738 acc 0.0099 | val 头内Δacc +0.0089 **全局Δacc +0.0090** | alpha 0.9990
  ep36 train loss 0.6740 acc 0.0097 | val 头内Δacc +0.0090 **全局Δacc +0.0083** | alpha 0.9990
  ep37 train loss 0.6732 acc 0.0099 | val 头内Δacc +0.0091 **全局Δacc +0.0083** | alpha 0.9990
  ep38 train loss 0.6743 acc 0.0098 | val 头内Δacc +0.0091 **全局Δacc +0.0080** | alpha 0.9990
  ep39 train loss 0.6718 acc 0.0104 | val 头内Δacc +0.0092 **全局Δacc +0.0083** | alpha 0.9990

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  memoryless  头内 +0.0092   全局 +0.0083
==============================================================================
