训练 23 篇 / 验证 7 篇

=== memoryless　参数 53.4K ===
  ep0 train loss 0.6810 acc 0.0088 | val 头内Δacc +0.0082 **全局Δacc +0.0091** | alpha 0.9990
  ep1 train loss 0.6803 acc 0.0105 | val 头内Δacc +0.0108 **全局Δacc +0.0120** | alpha 0.9990
  ep2 train loss 0.6785 acc 0.0121 | val 头内Δacc +0.0124 **全局Δacc +0.0102** | alpha 0.9990
  ep3 train loss 0.6777 acc 0.0132 | val 头内Δacc +0.0132 **全局Δacc +0.0114** | alpha 0.9990
  ep4 train loss 0.6776 acc 0.0130 | val 头内Δacc +0.0132 **全局Δacc +0.0129** | alpha 0.9990
  ep5 train loss 0.6779 acc 0.0129 | val 头内Δacc +0.0129 **全局Δacc +0.0127** | alpha 0.9990
  ep6 train loss 0.6771 acc 0.0121 | val 头内Δacc +0.0125 **全局Δacc +0.0126** | alpha 0.9990
  ep7 train loss 0.6766 acc 0.0122 | val 头内Δacc +0.0123 **全局Δacc +0.0131** | alpha 0.9990
  ep8 train loss 0.6770 acc 0.0120 | val 头内Δacc +0.0122 **全局Δacc +0.0133** | alpha 0.9990
  ep9 train loss 0.6761 acc 0.0119 | val 头内Δacc +0.0122 **全局Δacc +0.0133** | alpha 0.9990
  ep10 train loss 0.6765 acc 0.0118 | val 头内Δacc +0.0122 **全局Δacc +0.0126** | alpha 0.9990
  ep11 train loss 0.6758 acc 0.0120 | val 头内Δacc +0.0122 **全局Δacc +0.0129** | alpha 0.9990
  ep12 train loss 0.6750 acc 0.0124 | val 头内Δacc +0.0122 **全局Δacc +0.0135** | alpha 0.9990
  ep13 train loss 0.6739 acc 0.0126 | val 头内Δacc +0.0125 **全局Δacc +0.0144** | alpha 0.9990
  ep14 train loss 0.6732 acc 0.0129 | val 头内Δacc +0.0126 **全局Δacc +0.0147** | alpha 0.9990
  ep15 train loss 0.6734 acc 0.0133 | val 头内Δacc +0.0128 **全局Δacc +0.0149** | alpha 0.9990
  ep16 train loss 0.6724 acc 0.0136 | val 头内Δacc +0.0133 **全局Δacc +0.0145** | alpha 0.9990
  ep17 train loss 0.6718 acc 0.0139 | val 头内Δacc +0.0138 **全局Δacc +0.0147** | alpha 0.9990
  ep18 train loss 0.6708 acc 0.0146 | val 头内Δacc +0.0144 **全局Δacc +0.0149** | alpha 0.9990
  ep19 train loss 0.6702 acc 0.0151 | val 头内Δacc +0.0150 **全局Δacc +0.0150** | alpha 0.9990
  ep20 train loss 0.6689 acc 0.0158 | val 头内Δacc +0.0154 **全局Δacc +0.0147** | alpha 0.9990
  ep21 train loss 0.6681 acc 0.0161 | val 头内Δacc +0.0157 **全局Δacc +0.0145** | alpha 0.9990
  ep22 train loss 0.6680 acc 0.0164 | val 头内Δacc +0.0159 **全局Δacc +0.0143** | alpha 0.9990
  ep23 train loss 0.6668 acc 0.0161 | val 头内Δacc +0.0158 **全局Δacc +0.0152** | alpha 0.9990
  ep24 train loss 0.6671 acc 0.0170 | val 头内Δacc +0.0166 **全局Δacc +0.0152** | alpha 0.9990
  ep25 train loss 0.6658 acc 0.0172 | val 头内Δacc +0.0168 **全局Δacc +0.0158** | alpha 0.9990
  ep26 train loss 0.6657 acc 0.0174 | val 头内Δacc +0.0170 **全局Δacc +0.0156** | alpha 0.9990
  ep27 train loss 0.6645 acc 0.0179 | val 头内Δacc +0.0172 **全局Δacc +0.0156** | alpha 0.9990
  ep28 train loss 0.6645 acc 0.0179 | val 头内Δacc +0.0174 **全局Δacc +0.0154** | alpha 0.9990
  ep29 train loss 0.6638 acc 0.0185 | val 头内Δacc +0.0179 **全局Δacc +0.0158** | alpha 0.9990
  ep30 train loss 0.6631 acc 0.0190 | val 头内Δacc +0.0184 **全局Δacc +0.0154** | alpha 0.9990
  ep31 train loss 0.6622 acc 0.0190 | val 头内Δacc +0.0187 **全局Δacc +0.0154** | alpha 0.9990
  ep32 train loss 0.6615 acc 0.0195 | val 头内Δacc +0.0189 **全局Δacc +0.0151** | alpha 0.9990
  ep33 train loss 0.6616 acc 0.0197 | val 头内Δacc +0.0191 **全局Δacc +0.0154** | alpha 0.9990
  ep34 train loss 0.6610 acc 0.0200 | val 头内Δacc +0.0195 **全局Δacc +0.0154** | alpha 0.9990
  ep35 train loss 0.6602 acc 0.0203 | val 头内Δacc +0.0196 **全局Δacc +0.0155** | alpha 0.9990
  ep36 train loss 0.6601 acc 0.0203 | val 头内Δacc +0.0199 **全局Δacc +0.0155** | alpha 0.9990
  ep37 train loss 0.6593 acc 0.0209 | val 头内Δacc +0.0200 **全局Δacc +0.0152** | alpha 0.9990
  ep38 train loss 0.6590 acc 0.0207 | val 头内Δacc +0.0202 **全局Δacc +0.0153** | alpha 0.9990
  ep39 train loss 0.6593 acc 0.0210 | val 头内Δacc +0.0203 **全局Δacc +0.0155** | alpha 0.9990

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  memoryless  头内 +0.0203   全局 +0.0155
==============================================================================
