训练 23 篇 / 验证 7 篇

=== memoryless　参数 4.5K ===
  ep0 train loss 0.6784 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0035** | alpha 0.9990
  ep1 train loss 0.6773 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0050** | alpha 0.9990
  ep2 train loss 0.6770 acc -0.0000 | val 头内Δacc -0.0000 **全局Δacc -0.0047** | alpha 0.9990
  ep3 train loss 0.6777 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0036** | alpha 0.9990
  ep4 train loss 0.6782 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0025** | alpha 0.9990
  ep5 train loss 0.6782 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0028** | alpha 0.9990
  ep6 train loss 0.6768 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc -0.0005** | alpha 0.9990
  ep7 train loss 0.6751 acc -0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0000** | alpha 0.9990
  ep8 train loss 0.6739 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0014** | alpha 0.9990
  ep9 train loss 0.6722 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0020** | alpha 0.9990
  ep10 train loss 0.6725 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0027** | alpha 0.9990
  ep11 train loss 0.6722 acc -0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0023** | alpha 0.9990
  ep12 train loss 0.6722 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0034** | alpha 0.9990
  ep13 train loss 0.6718 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0035** | alpha 0.9990
  ep14 train loss 0.6716 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0033** | alpha 0.9990
  ep15 train loss 0.6725 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0038** | alpha 0.9990
  ep16 train loss 0.6720 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0038** | alpha 0.9990
  ep17 train loss 0.6722 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0043** | alpha 0.9990
  ep18 train loss 0.6721 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0047** | alpha 0.9990
  ep19 train loss 0.6722 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0048** | alpha 0.9990
  ep20 train loss 0.6720 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0046** | alpha 0.9990
  ep21 train loss 0.6718 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0048** | alpha 0.9990
  ep22 train loss 0.6724 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0052** | alpha 0.9990
  ep23 train loss 0.6718 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0054** | alpha 0.9990
  ep24 train loss 0.6725 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0054** | alpha 0.9990
  ep25 train loss 0.6717 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0055** | alpha 0.9990
  ep26 train loss 0.6722 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0058** | alpha 0.9990
  ep27 train loss 0.6716 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0060** | alpha 0.9990
  ep28 train loss 0.6719 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0060** | alpha 0.9990
  ep29 train loss 0.6719 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0064** | alpha 0.9990
  ep30 train loss 0.6718 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0066** | alpha 0.9990
  ep31 train loss 0.6715 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0068** | alpha 0.9990
  ep32 train loss 0.6714 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0066** | alpha 0.9990
  ep33 train loss 0.6719 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0066** | alpha 0.9990
  ep34 train loss 0.6718 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0064** | alpha 0.9990
  ep35 train loss 0.6713 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0066** | alpha 0.9990
  ep36 train loss 0.6718 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0064** | alpha 0.9990
  ep37 train loss 0.6713 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0064** | alpha 0.9990
  ep38 train loss 0.6714 acc -0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0064** | alpha 0.9990
  ep39 train loss 0.6719 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0065** | alpha 0.9990

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  memoryless  头内 -0.0000   全局 +0.0065
==============================================================================
