训练 8 篇 / 验证 2 篇

=== stateful　参数 637.8K ===
  ep0 train loss 0.6808 acc 0.0057 | val 头内Δacc +0.0038 **全局Δacc +0.0017** | alpha 0.0500
  ep1 train loss 0.6812 acc 0.0042 | val 头内Δacc +0.0045 **全局Δacc +0.0020** | alpha 0.0501
  ep2 train loss 0.6802 acc 0.0043 | val 头内Δacc +0.0043 **全局Δacc +0.0013** | alpha 0.0502
  ep3 train loss 0.6798 acc 0.0043 | val 头内Δacc +0.0039 **全局Δacc +0.0006** | alpha 0.0504
  ep4 train loss 0.6813 acc 0.0039 | val 头内Δacc +0.0028 **全局Δacc +0.0006** | alpha 0.0505
  ep5 train loss 0.6810 acc 0.0024 | val 头内Δacc +0.0013 **全局Δacc +0.0006** | alpha 0.0507
  ep6 train loss 0.6798 acc 0.0014 | val 头内Δacc +0.0012 **全局Δacc +0.0006** | alpha 0.0508
  ep7 train loss 0.6792 acc 0.0011 | val 头内Δacc +0.0011 **全局Δacc +0.0006** | alpha 0.0510
  ep8 train loss 0.6797 acc 0.0009 | val 头内Δacc +0.0011 **全局Δacc +0.0003** | alpha 0.0511
  ep9 train loss 0.6812 acc 0.0011 | val 头内Δacc +0.0012 **全局Δacc +0.0003** | alpha 0.0513
  ep10 train loss 0.6800 acc 0.0011 | val 头内Δacc +0.0009 **全局Δacc +0.0003** | alpha 0.0514
  ep11 train loss 0.6799 acc 0.0010 | val 头内Δacc +0.0008 **全局Δacc +0.0003** | alpha 0.0515
  ep12 train loss 0.6806 acc 0.0010 | val 头内Δacc +0.0009 **全局Δacc -0.0000** | alpha 0.0517
  ep13 train loss 0.6813 acc 0.0011 | val 头内Δacc +0.0011 **全局Δacc -0.0000** | alpha 0.0518
  ep14 train loss 0.6792 acc 0.0011 | val 头内Δacc +0.0009 **全局Δacc -0.0000** | alpha 0.0520
  ep15 train loss 0.6796 acc 0.0011 | val 头内Δacc +0.0010 **全局Δacc -0.0000** | alpha 0.0521
  ep16 train loss 0.6798 acc 0.0014 | val 头内Δacc +0.0009 **全局Δacc -0.0004** | alpha 0.0522
  ep17 train loss 0.6796 acc 0.0013 | val 头内Δacc +0.0009 **全局Δacc -0.0007** | alpha 0.0524
  ep18 train loss 0.6806 acc 0.0011 | val 头内Δacc +0.0009 **全局Δacc -0.0007** | alpha 0.0525
  ep19 train loss 0.6804 acc 0.0012 | val 头内Δacc +0.0010 **全局Δacc -0.0007** | alpha 0.0526
  ep20 train loss 0.6808 acc 0.0011 | val 头内Δacc +0.0009 **全局Δacc -0.0007** | alpha 0.0528
  ep21 train loss 0.6806 acc 0.0013 | val 头内Δacc +0.0010 **全局Δacc -0.0007** | alpha 0.0529
  ep22 train loss 0.6798 acc 0.0014 | val 头内Δacc +0.0010 **全局Δacc -0.0007** | alpha 0.0530
  ep23 train loss 0.6797 acc 0.0012 | val 头内Δacc +0.0010 **全局Δacc -0.0007** | alpha 0.0532
  ep24 train loss 0.6801 acc 0.0014 | val 头内Δacc +0.0010 **全局Δacc -0.0007** | alpha 0.0533
  ep25 train loss 0.6797 acc 0.0014 | val 头内Δacc +0.0011 **全局Δacc -0.0007** | alpha 0.0535
  ep26 train loss 0.6794 acc 0.0014 | val 头内Δacc +0.0011 **全局Δacc -0.0007** | alpha 0.0536
  ep27 train loss 0.6796 acc 0.0015 | val 头内Δacc +0.0013 **全局Δacc -0.0007** | alpha 0.0537
  ep28 train loss 0.6788 acc 0.0016 | val 头内Δacc +0.0013 **全局Δacc -0.0007** | alpha 0.0539
  ep29 train loss 0.6801 acc 0.0017 | val 头内Δacc +0.0013 **全局Δacc -0.0007** | alpha 0.0540
  ep30 train loss 0.6794 acc 0.0018 | val 头内Δacc +0.0014 **全局Δacc -0.0007** | alpha 0.0541
  ep31 train loss 0.6793 acc 0.0018 | val 头内Δacc +0.0015 **全局Δacc -0.0007** | alpha 0.0543
  ep32 train loss 0.6790 acc 0.0018 | val 头内Δacc +0.0015 **全局Δacc -0.0007** | alpha 0.0544
  ep33 train loss 0.6803 acc 0.0018 | val 头内Δacc +0.0015 **全局Δacc -0.0007** | alpha 0.0546
  ep34 train loss 0.6788 acc 0.0018 | val 头内Δacc +0.0011 **全局Δacc -0.0007** | alpha 0.0547
  ep35 train loss 0.6794 acc 0.0015 | val 头内Δacc +0.0011 **全局Δacc -0.0007** | alpha 0.0548
  ep36 train loss 0.6802 acc 0.0017 | val 头内Δacc +0.0013 **全局Δacc -0.0007** | alpha 0.0550
  ep37 train loss 0.6797 acc 0.0016 | val 头内Δacc +0.0011 **全局Δacc -0.0007** | alpha 0.0551
  ep38 train loss 0.6790 acc 0.0017 | val 头内Δacc +0.0012 **全局Δacc -0.0007** | alpha 0.0553
  ep39 train loss 0.6797 acc 0.0019 | val 头内Δacc +0.0016 **全局Δacc -0.0007** | alpha 0.0554

=== memoryless　参数 637.8K ===
  ep0 train loss 0.6808 acc 0.0073 | val 头内Δacc +0.0068 **全局Δacc +0.0014** | alpha 0.0499
  ep1 train loss 0.6812 acc 0.0077 | val 头内Δacc +0.0074 **全局Δacc +0.0021** | alpha 0.0500
  ep2 train loss 0.6801 acc 0.0082 | val 头内Δacc +0.0081 **全局Δacc +0.0017** | alpha 0.0502
  ep3 train loss 0.6798 acc 0.0090 | val 头内Δacc +0.0086 **全局Δacc +0.0014** | alpha 0.0503
  ep4 train loss 0.6812 acc 0.0090 | val 头内Δacc +0.0085 **全局Δacc +0.0010** | alpha 0.0505
  ep5 train loss 0.6808 acc 0.0087 | val 头内Δacc +0.0087 **全局Δacc +0.0009** | alpha 0.0506
