训练 8 篇 / 验证 2 篇

=== memoryless　参数 2.3K ===
  ep0 train loss 0.6824 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0062** | alpha 0.9990
  ep1 train loss 0.6820 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0079** | alpha 0.9990
  ep2 train loss 0.6821 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0095** | alpha 0.9990
  ep3 train loss 0.6818 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0108** | alpha 0.9990
  ep4 train loss 0.6822 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0141** | alpha 0.9990
  ep5 train loss 0.6820 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0135** | alpha 0.9990
  ep6 train loss 0.6825 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0121** | alpha 0.9990
  ep7 train loss 0.6820 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0125** | alpha 0.9990
  ep8 train loss 0.6819 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0107** | alpha 0.9990
  ep9 train loss 0.6816 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0121** | alpha 0.9990
  ep10 train loss 0.6815 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0113** | alpha 0.9990
  ep11 train loss 0.6814 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0120** | alpha 0.9990
  ep12 train loss 0.6827 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0085** | alpha 0.9990
  ep13 train loss 0.6810 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0089** | alpha 0.9990
  ep14 train loss 0.6805 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0117** | alpha 0.9990
  ep15 train loss 0.6826 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0123** | alpha 0.9990
  ep16 train loss 0.6811 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0164** | alpha 0.9990
  ep17 train loss 0.6813 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0175** | alpha 0.9990
  ep18 train loss 0.6817 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0188** | alpha 0.9990
  ep19 train loss 0.6827 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0140** | alpha 0.9990
  ep20 train loss 0.6822 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0174** | alpha 0.9990
  ep21 train loss 0.6819 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0197** | alpha 0.9990
  ep22 train loss 0.6814 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0211** | alpha 0.9990
  ep23 train loss 0.6811 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0224** | alpha 0.9990
  ep24 train loss 0.6811 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0217** | alpha 0.9990
  ep25 train loss 0.6816 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0238** | alpha 0.9990
  ep26 train loss 0.6816 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0261** | alpha 0.9990
  ep27 train loss 0.6816 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0265** | alpha 0.9990
  ep28 train loss 0.6820 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0275** | alpha 0.9990
  ep29 train loss 0.6822 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0275** | alpha 0.9990
  ep30 train loss 0.6826 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0289** | alpha 0.9990
  ep31 train loss 0.6819 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0299** | alpha 0.9990
  ep32 train loss 0.6814 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0326** | alpha 0.9990
  ep33 train loss 0.6809 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0330** | alpha 0.9990
  ep34 train loss 0.6820 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0350** | alpha 0.9990
  ep35 train loss 0.6821 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0350** | alpha 0.9990
  ep36 train loss 0.6807 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0364** | alpha 0.9990
  ep37 train loss 0.6826 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0367** | alpha 0.9990
  ep38 train loss 0.6818 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0374** | alpha 0.9990
  ep39 train loss 0.6814 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0374** | alpha 0.9990

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  memoryless  头内 +0.0000   全局 +0.0374
==============================================================================
