训练 8 篇 / 验证 2 篇

=== memoryless　参数 4.4K ===
  ep0 train loss 0.6813 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0108** | alpha 1.5000
  ep1 train loss 0.6813 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0081** | alpha 1.5000
  ep2 train loss 0.6830 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0044** | alpha 1.5000
  ep3 train loss 0.6833 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0030** | alpha 1.5000
  ep4 train loss 0.6829 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0098** | alpha 1.5000
  ep5 train loss 0.6830 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0115** | alpha 1.5000
  ep6 train loss 0.6829 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0125** | alpha 1.5000
  ep7 train loss 0.6819 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0139** | alpha 1.5000
  ep8 train loss 0.6803 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0182** | alpha 1.5000
  ep9 train loss 0.6815 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0196** | alpha 1.5000
  ep10 train loss 0.6820 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0258** | alpha 1.5000
  ep11 train loss 0.6809 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0326** | alpha 1.5000
  ep12 train loss 0.6829 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0352** | alpha 1.5000
  ep13 train loss 0.6815 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0447** | alpha 1.5000
  ep14 train loss 0.6825 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0513** | alpha 1.5000
  ep15 train loss 0.6819 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0657** | alpha 1.5000
  ep16 train loss 0.6817 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0742** | alpha 1.5000
  ep17 train loss 0.6825 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0821** | alpha 1.5000
  ep18 train loss 0.6813 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0850** | alpha 1.5000
  ep19 train loss 0.6820 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0949** | alpha 1.5000
  ep20 train loss 0.6813 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1038** | alpha 1.5000
  ep21 train loss 0.6815 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1153** | alpha 1.5000
  ep22 train loss 0.6821 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1235** | alpha 1.5000
  ep23 train loss 0.6817 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1333** | alpha 1.5000
  ep24 train loss 0.6818 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1404** | alpha 1.5000
  ep25 train loss 0.6824 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1496** | alpha 1.5000
