训练 8 篇 / 验证 2 篇

=== memoryless　参数 4.4K ===
  ep0 train loss 0.6824 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0038** | alpha 1.2500
  ep1 train loss 0.6820 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0013** | alpha 1.2500
  ep2 train loss 0.6821 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0014** | alpha 1.2500
  ep3 train loss 0.6818 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0003** | alpha 1.2500
  ep4 train loss 0.6822 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0031** | alpha 1.2500
  ep5 train loss 0.6820 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0068** | alpha 1.2500
  ep6 train loss 0.6825 acc -0.0000 | val 头内Δacc -0.0000 **全局Δacc +0.0116** | alpha 1.2500
  ep7 train loss 0.6820 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0133** | alpha 1.2500
  ep8 train loss 0.6819 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0164** | alpha 1.2500
  ep9 train loss 0.6816 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0182** | alpha 1.2500
  ep10 train loss 0.6815 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0234** | alpha 1.2500
  ep11 train loss 0.6814 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0251** | alpha 1.2500
  ep12 train loss 0.6827 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0241** | alpha 1.2500
  ep13 train loss 0.6810 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0326** | alpha 1.2500
  ep14 train loss 0.6805 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0356** | alpha 1.2500
  ep15 train loss 0.6826 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0410** | alpha 1.2500
  ep16 train loss 0.6811 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0478** | alpha 1.2500
  ep17 train loss 0.6813 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0563** | alpha 1.2500
  ep18 train loss 0.6817 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0657** | alpha 1.2500
  ep19 train loss 0.6827 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0732** | alpha 1.2500
  ep20 train loss 0.6822 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0783** | alpha 1.2500
  ep21 train loss 0.6819 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0878** | alpha 1.2500
  ep22 train loss 0.6814 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0950** | alpha 1.2500
  ep23 train loss 0.6811 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1002** | alpha 1.2500
  ep24 train loss 0.6811 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1057** | alpha 1.2500
  ep25 train loss 0.6816 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1071** | alpha 1.2500
  ep26 train loss 0.6816 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1091** | alpha 1.2500
  ep27 train loss 0.6816 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1098** | alpha 1.2500
  ep28 train loss 0.6820 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1153** | alpha 1.2500
  ep29 train loss 0.6822 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1180** | alpha 1.2500
  ep30 train loss 0.6826 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1190** | alpha 1.2500
  ep31 train loss 0.6819 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1235** | alpha 1.2500
  ep32 train loss 0.6814 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1231** | alpha 1.2500
  ep33 train loss 0.6809 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1251** | alpha 1.2500
  ep34 train loss 0.6820 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1280** | alpha 1.2500
  ep35 train loss 0.6821 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1290** | alpha 1.2500
  ep36 train loss 0.6807 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1283** | alpha 1.2500
  ep37 train loss 0.6826 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1290** | alpha 1.2500
  ep38 train loss 0.6818 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1311** | alpha 1.2500
  ep39 train loss 0.6814 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1328** | alpha 1.2500

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  memoryless  头内 +0.0000   全局 +0.1328
==============================================================================
