训练 8 篇 / 验证 2 篇

=== memoryless　参数 4.5K ===
  ep0 train loss 0.6813 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0107** | alpha 1.2500
  ep1 train loss 0.6813 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0149** | alpha 1.2500
  ep2 train loss 0.6830 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0155** | alpha 1.2500
  ep3 train loss 0.6833 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0151** | alpha 1.2500
  ep4 train loss 0.6829 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0198** | alpha 1.2500
  ep5 train loss 0.6830 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0215** | alpha 1.2500
  ep6 train loss 0.6829 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0245** | alpha 1.2500
  ep7 train loss 0.6819 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0275** | alpha 1.2500
  ep8 train loss 0.6803 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0269** | alpha 1.2500
  ep9 train loss 0.6815 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0241** | alpha 1.2500
  ep10 train loss 0.6820 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0284** | alpha 1.2500
  ep11 train loss 0.6809 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0331** | alpha 1.2500
  ep12 train loss 0.6829 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0395** | alpha 1.2500
  ep13 train loss 0.6815 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0450** | alpha 1.2500
  ep14 train loss 0.6825 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0535** | alpha 1.2500
  ep15 train loss 0.6819 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0607** | alpha 1.2500
  ep16 train loss 0.6817 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0656** | alpha 1.2500
  ep17 train loss 0.6825 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0688** | alpha 1.2500
  ep18 train loss 0.6813 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0716** | alpha 1.2500
  ep19 train loss 0.6820 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0773** | alpha 1.2500
  ep20 train loss 0.6813 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0841** | alpha 1.2500
  ep21 train loss 0.6815 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0930** | alpha 1.2500
  ep22 train loss 0.6821 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0994** | alpha 1.2500
  ep23 train loss 0.6817 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1005** | alpha 1.2500
  ep24 train loss 0.6818 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1002** | alpha 1.2500
  ep25 train loss 0.6824 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1009** | alpha 1.2500
  ep26 train loss 0.6809 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1068** | alpha 1.2500
  ep27 train loss 0.6820 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1126** | alpha 1.2500
  ep28 train loss 0.6821 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1145** | alpha 1.2500
  ep29 train loss 0.6822 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1159** | alpha 1.2500
  ep30 train loss 0.6822 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1186** | alpha 1.2500
  ep31 train loss 0.6811 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1224** | alpha 1.2500
  ep32 train loss 0.6821 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1238** | alpha 1.2500
  ep33 train loss 0.6820 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1262** | alpha 1.2500
  ep34 train loss 0.6814 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1292** | alpha 1.2500
  ep35 train loss 0.6821 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1323** | alpha 1.2500
  ep36 train loss 0.6809 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1340** | alpha 1.2500
  ep37 train loss 0.6817 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1364** | alpha 1.2500
  ep38 train loss 0.6817 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1411** | alpha 1.2500
  ep39 train loss 0.6822 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1434** | alpha 1.2500

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  memoryless  头内 +0.0000   全局 +0.1434
==============================================================================
