训练 8 篇 / 验证 2 篇

=== memoryless　参数 4.4K ===
  ep0 train loss 0.6902 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0186** | alpha 0.9990
  ep1 train loss 0.6897 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0237** | alpha 0.9990
  ep2 train loss 0.6905 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0662** | alpha 0.9990
  ep3 train loss 0.6907 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1681** | alpha 0.9990
  ep4 train loss 0.6890 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.2526** | alpha 0.9990
  ep5 train loss 0.6899 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.2922** | alpha 0.9990
  ep6 train loss 0.6908 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3096** | alpha 0.9990
  ep7 train loss 0.6896 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3176** | alpha 0.9990
  ep8 train loss 0.6900 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3209** | alpha 0.9990
  ep9 train loss 0.6899 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3257** | alpha 0.9990
  ep10 train loss 0.6901 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3256** | alpha 0.9990
  ep11 train loss 0.6901 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3301** | alpha 0.9990
  ep12 train loss 0.6911 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3345** | alpha 0.9990
  ep13 train loss 0.6897 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3373** | alpha 0.9990
  ep14 train loss 0.6913 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3431** | alpha 0.9990
  ep15 train loss 0.6903 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3428** | alpha 0.9990
  ep16 train loss 0.6900 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3467** | alpha 0.9990
  ep17 train loss 0.6903 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3526** | alpha 0.9990
  ep18 train loss 0.6898 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3554** | alpha 0.9990
  ep19 train loss 0.6900 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3591** | alpha 0.9990
  ep20 train loss 0.6896 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3616** | alpha 0.9990
  ep21 train loss 0.6901 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3614** | alpha 0.9990
  ep22 train loss 0.6903 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3625** | alpha 0.9990
  ep23 train loss 0.6903 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3633** | alpha 0.9990
  ep24 train loss 0.6910 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3643** | alpha 0.9990
  ep25 train loss 0.6893 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3660** | alpha 0.9990
  ep26 train loss 0.6902 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3674** | alpha 0.9990
  ep27 train loss 0.6903 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3681** | alpha 0.9990
  ep28 train loss 0.6902 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3675** | alpha 0.9990
  ep29 train loss 0.6890 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3678** | alpha 0.9990
  ep30 train loss 0.6901 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3686** | alpha 0.9990
  ep31 train loss 0.6893 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3689** | alpha 0.9990
  ep32 train loss 0.6907 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3693** | alpha 0.9990
  ep33 train loss 0.6904 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3679** | alpha 0.9990
  ep34 train loss 0.6893 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3672** | alpha 0.9990
  ep35 train loss 0.6900 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3683** | alpha 0.9990
  ep36 train loss 0.6902 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3672** | alpha 0.9990
  ep37 train loss 0.6893 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3679** | alpha 0.9990
  ep38 train loss 0.6902 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3692** | alpha 0.9990
  ep39 train loss 0.6897 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3710** | alpha 0.9990

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  memoryless  头内 +0.0000   全局 +0.3710
==============================================================================
