训练 8 篇 / 验证 2 篇

=== memoryless　参数 4.4K ===
  ep0 train loss 0.6903 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0748** | alpha 0.9990
  ep1 train loss 0.6905 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.1957** | alpha 0.9990
  ep2 train loss 0.6904 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.2659** | alpha 0.9990
  ep3 train loss 0.6909 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.2982** | alpha 0.9990
  ep4 train loss 0.6904 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3103** | alpha 0.9990
  ep5 train loss 0.6899 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3169** | alpha 0.9990
  ep6 train loss 0.6901 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3196** | alpha 0.9990
  ep7 train loss 0.6902 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3223** | alpha 0.9990
  ep8 train loss 0.6911 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3254** | alpha 0.9990
  ep9 train loss 0.6910 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3281** | alpha 0.9990
  ep10 train loss 0.6902 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3309** | alpha 0.9990
  ep11 train loss 0.6916 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3347** | alpha 0.9990
  ep12 train loss 0.6897 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3344** | alpha 0.9990
  ep13 train loss 0.6890 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3372** | alpha 0.9990
  ep14 train loss 0.6911 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3425** | alpha 0.9990
  ep15 train loss 0.6893 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3484** | alpha 0.9990
  ep16 train loss 0.6892 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3549** | alpha 0.9990
  ep17 train loss 0.6906 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3563** | alpha 0.9990
  ep18 train loss 0.6903 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3609** | alpha 0.9990
  ep19 train loss 0.6897 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3629** | alpha 0.9990
  ep20 train loss 0.6901 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3619** | alpha 0.9990
  ep21 train loss 0.6892 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3597** | alpha 0.9990
  ep22 train loss 0.6906 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3607** | alpha 0.9990
  ep23 train loss 0.6897 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3638** | alpha 0.9990
  ep24 train loss 0.6906 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3663** | alpha 0.9990
  ep25 train loss 0.6903 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3663** | alpha 0.9990
  ep26 train loss 0.6901 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3666** | alpha 0.9990
  ep27 train loss 0.6898 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3700** | alpha 0.9990
  ep28 train loss 0.6906 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3697** | alpha 0.9990
  ep29 train loss 0.6905 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3694** | alpha 0.9990
  ep30 train loss 0.6895 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3691** | alpha 0.9990
  ep31 train loss 0.6887 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3684** | alpha 0.9990
  ep32 train loss 0.6914 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3711** | alpha 0.9990
  ep33 train loss 0.6905 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3723** | alpha 0.9990
  ep34 train loss 0.6908 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3723** | alpha 0.9990
  ep35 train loss 0.6893 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3727** | alpha 0.9990
  ep36 train loss 0.6899 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3737** | alpha 0.9990
  ep37 train loss 0.6895 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3730** | alpha 0.9990
  ep38 train loss 0.6912 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3734** | alpha 0.9990
  ep39 train loss 0.6890 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.3731** | alpha 0.9990

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  memoryless  头内 +0.0000   全局 +0.3731
==============================================================================
