训练 8 篇 / 验证 2 篇

=== memoryless　参数 4.5K ===
  ep0 train loss 1.0183 acc -0.0006 | val 头内Δacc -0.0028 **全局Δacc +0.0036** | alpha 1.2500
  ep1 train loss 0.8685 acc -0.0067 | val 头内Δacc -0.0118 **全局Δacc -0.0033** | alpha 1.2500
  ep2 train loss 0.7818 acc -0.0177 | val 头内Δacc -0.0223 **全局Δacc -0.0116** | alpha 1.2500
  ep3 train loss 0.7382 acc -0.0182 | val 头内Δacc -0.0100 **全局Δacc +0.0012** | alpha 1.2500
  ep4 train loss 0.7074 acc -0.0057 | val 头内Δacc -0.0016 **全局Δacc +0.0064** | alpha 1.2500
  ep5 train loss 0.6831 acc -0.0025 | val 头内Δacc -0.0020 **全局Δacc +0.0064** | alpha 1.2500
  ep6 train loss 0.6683 acc -0.0012 | val 头内Δacc -0.0001 **全局Δacc +0.0101** | alpha 1.2500
  ep7 train loss 0.6647 acc -0.0006 | val 头内Δacc -0.0002 **全局Δacc +0.0114** | alpha 1.2500
  ep8 train loss 0.6634 acc -0.0002 | val 头内Δacc -0.0004 **全局Δacc +0.0125** | alpha 1.2500
  ep9 train loss 0.6626 acc -0.0004 | val 头内Δacc -0.0002 **全局Δacc +0.0124** | alpha 1.2500
  ep10 train loss 0.6619 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0131** | alpha 1.2500
  ep11 train loss 0.6612 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0132** | alpha 1.2500
  ep12 train loss 0.6606 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0122** | alpha 1.2500
  ep13 train loss 0.6599 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0135** | alpha 1.2500
  ep14 train loss 0.6599 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0177** | alpha 1.2500
  ep15 train loss 0.6600 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0185** | alpha 1.2500
  ep16 train loss 0.6589 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0185** | alpha 1.2500
  ep17 train loss 0.6590 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0235** | alpha 1.2500
  ep18 train loss 0.6585 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0337** | alpha 1.2500
  ep19 train loss 0.6590 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0407** | alpha 1.2500
  ep20 train loss 0.6589 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0499** | alpha 1.2500
  ep21 train loss 0.6584 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0550** | alpha 1.2500
  ep22 train loss 0.6582 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0655** | alpha 1.2500
  ep23 train loss 0.6585 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0729** | alpha 1.2500
  ep24 train loss 0.6584 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0804** | alpha 1.2500
  ep25 train loss 0.6577 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0863** | alpha 1.2500
  ep26 train loss 0.6581 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0919** | alpha 1.2500
  ep27 train loss 0.6580 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0936** | alpha 1.2500
  ep28 train loss 0.6587 acc -0.0002 | val 头内Δacc -0.0005 **全局Δacc +0.0964** | alpha 1.2500
  ep29 train loss 0.6593 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0988** | alpha 1.2500
  ep30 train loss 0.6582 acc -0.0003 | val 头内Δacc -0.0006 **全局Δacc +0.1012** | alpha 1.2500
  ep31 train loss 0.6581 acc -0.0002 | val 头内Δacc -0.0008 **全局Δacc +0.1038** | alpha 1.2500
  ep32 train loss 0.6584 acc -0.0004 | val 头内Δacc -0.0008 **全局Δacc +0.1069** | alpha 1.2500
  ep33 train loss 0.6591 acc -0.0004 | val 头内Δacc -0.0008 **全局Δacc +0.1103** | alpha 1.2500
  ep34 train loss 0.6591 acc -0.0007 | val 头内Δacc -0.0008 **全局Δacc +0.1148** | alpha 1.2500
  ep35 train loss 0.6591 acc -0.0004 | val 头内Δacc -0.0010 **全局Δacc +0.1175** | alpha 1.2500
  ep36 train loss 0.6591 acc -0.0007 | val 头内Δacc -0.0011 **全局Δacc +0.1212** | alpha 1.2500
  ep37 train loss 0.6593 acc -0.0005 | val 头内Δacc -0.0012 **全局Δacc +0.1219** | alpha 1.2500
  ep38 train loss 0.6598 acc -0.0013 | val 头内Δacc -0.0012 **全局Δacc +0.1247** | alpha 1.2500
  ep39 train loss 0.6598 acc -0.0005 | val 头内Δacc -0.0008 **全局Δacc +0.1261** | alpha 1.2500

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  memoryless  头内 -0.0008   全局 +0.1261
==============================================================================
