训练 8 篇 / 验证 2 篇

=== memoryless　参数 4.5K ===
  ep0 train loss 1.6101 acc -0.0711 | val 头内Δacc -0.0744 **全局Δacc -0.0381** | alpha 0.9990
  ep1 train loss 1.3118 acc -0.0689 | val 头内Δacc -0.0710 **全局Δacc -0.0347** | alpha 0.9990
  ep2 train loss 0.9821 acc -0.0610 | val 头内Δacc -0.0554 **全局Δacc -0.0247** | alpha 0.9990
  ep3 train loss 0.7217 acc -0.0280 | val 头内Δacc -0.0059 **全局Δacc -0.0050** | alpha 0.9990
  ep4 train loss 0.7093 acc -0.0029 | val 头内Δacc -0.0019 **全局Δacc -0.0005** | alpha 0.9990
  ep5 train loss 0.6835 acc -0.0023 | val 头内Δacc -0.0054 **全局Δacc -0.0093** | alpha 0.9990
  ep6 train loss 0.6764 acc -0.0028 | val 头内Δacc -0.0003 **全局Δacc -0.0019** | alpha 0.9990
  ep7 train loss 0.6747 acc -0.0003 | val 头内Δacc -0.0012 **全局Δacc -0.0005** | alpha 0.9990
  ep8 train loss 0.6704 acc -0.0006 | val 头内Δacc -0.0001 **全局Δacc +0.0079** | alpha 0.9990
  ep9 train loss 0.6705 acc -0.0003 | val 头内Δacc -0.0004 **全局Δacc +0.0117** | alpha 0.9990
  ep10 train loss 0.6702 acc -0.0002 | val 头内Δacc -0.0003 **全局Δacc +0.0147** | alpha 0.9990
  ep11 train loss 0.6679 acc -0.0004 | val 头内Δacc -0.0002 **全局Δacc +0.0184** | alpha 0.9990
  ep12 train loss 0.6684 acc -0.0002 | val 头内Δacc -0.0007 **全局Δacc +0.0202** | alpha 0.9990
  ep13 train loss 0.6662 acc -0.0003 | val 头内Δacc -0.0001 **全局Δacc +0.0218** | alpha 0.9990
  ep14 train loss 0.6666 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0238** | alpha 0.9990
  ep15 train loss 0.6650 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0248** | alpha 0.9990
  ep16 train loss 0.6644 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0278** | alpha 0.9990
  ep17 train loss 0.6642 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0306** | alpha 0.9990
  ep18 train loss 0.6634 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0327** | alpha 0.9990
  ep19 train loss 0.6635 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0354** | alpha 0.9990
  ep20 train loss 0.6627 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0371** | alpha 0.9990
  ep21 train loss 0.6624 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0388** | alpha 0.9990
  ep22 train loss 0.6624 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0395** | alpha 0.9990
  ep23 train loss 0.6623 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0437** | alpha 0.9990
  ep24 train loss 0.6622 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0488** | alpha 0.9990
  ep25 train loss 0.6621 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0525** | alpha 0.9990
  ep26 train loss 0.6612 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0546** | alpha 0.9990
  ep27 train loss 0.6618 acc -0.0001 | val 头内Δacc -0.0001 **全局Δacc +0.0583** | alpha 0.9990
  ep28 train loss 0.6619 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0634** | alpha 0.9990
  ep29 train loss 0.6615 acc -0.0003 | val 头内Δacc -0.0001 **全局Δacc +0.0638** | alpha 0.9990
  ep30 train loss 0.6615 acc -0.0001 | val 头内Δacc -0.0002 **全局Δacc +0.0658** | alpha 0.9990
  ep31 train loss 0.6610 acc -0.0002 | val 头内Δacc -0.0001 **全局Δacc +0.0701** | alpha 0.9990
  ep32 train loss 0.6614 acc -0.0002 | val 头内Δacc -0.0002 **全局Δacc +0.0736** | alpha 0.9990
  ep33 train loss 0.6618 acc -0.0002 | val 头内Δacc -0.0003 **全局Δacc +0.0749** | alpha 0.9990
  ep34 train loss 0.6610 acc -0.0004 | val 头内Δacc -0.0004 **全局Δacc +0.0763** | alpha 0.9990
  ep35 train loss 0.6615 acc -0.0005 | val 头内Δacc -0.0009 **全局Δacc +0.0779** | alpha 0.9990
  ep36 train loss 0.6610 acc -0.0005 | val 头内Δacc -0.0007 **全局Δacc +0.0796** | alpha 0.9990
  ep37 train loss 0.6615 acc -0.0006 | val 头内Δacc -0.0010 **全局Δacc +0.0814** | alpha 0.9990
  ep38 train loss 0.6614 acc -0.0006 | val 头内Δacc -0.0010 **全局Δacc +0.0818** | alpha 0.9990
  ep39 train loss 0.6614 acc -0.0007 | val 头内Δacc -0.0009 **全局Δacc +0.0831** | alpha 0.9990

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  memoryless  头内 -0.0009   全局 +0.0831
==============================================================================
