训练 8 篇 / 验证 2 篇

=== memoryless　参数 4.5K ===
  ep0 train loss 0.6809 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0049** | alpha 2.8610
  ep1 train loss 0.6766 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0076** | alpha 2.8610
  ep2 train loss 0.6750 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0066** | alpha 2.8610
  ep3 train loss 0.6741 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0063** | alpha 2.8610
  ep4 train loss 0.6748 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0074** | alpha 2.8610
  ep5 train loss 0.6750 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0064** | alpha 2.8610
  ep6 train loss 0.6760 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0050** | alpha 2.8610
  ep7 train loss 0.6761 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0033** | alpha 2.8610
  ep8 train loss 0.6764 acc 0.0000 | val 头内Δacc -0.0000 **全局Δacc -0.0013** | alpha 2.8610
  ep9 train loss 0.6766 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0015** | alpha 2.8610
  ep10 train loss 0.6768 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0035** | alpha 2.8610
  ep11 train loss 0.6771 acc -0.0001 | val 头内Δacc +0.0000 **全局Δacc +0.0045** | alpha 2.8610
  ep12 train loss 0.6786 acc -0.0001 | val 头内Δacc +0.0001 **全局Δacc +0.0041** | alpha 2.8610
  ep13 train loss 0.6771 acc -0.0003 | val 头内Δacc -0.0001 **全局Δacc +0.0058** | alpha 2.8610
  ep14 train loss 0.6767 acc -0.0004 | val 头内Δacc -0.0004 **全局Δacc +0.0103** | alpha 2.8610
  ep15 train loss 0.6787 acc -0.0006 | val 头内Δacc -0.0005 **全局Δacc +0.0120** | alpha 2.8610
