训练 8 篇 / 验证 2 篇

=== memoryless　参数 4.5K ===
  ep0 train loss 0.6724 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0059** | alpha 2.8610
  ep1 train loss 0.6723 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0066** | alpha 2.8610
  ep2 train loss 0.6738 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0066** | alpha 2.8610
  ep3 train loss 0.6740 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0063** | alpha 2.8610
  ep4 train loss 0.6740 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0053** | alpha 2.8610
  ep5 train loss 0.6743 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0040** | alpha 2.8610
  ep6 train loss 0.6748 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0043** | alpha 2.8610
  ep7 train loss 0.6740 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0005** | alpha 2.8610
  ep8 train loss 0.6726 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0009** | alpha 2.8610
  ep9 train loss 0.6736 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0016** | alpha 2.8610
  ep10 train loss 0.6743 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0022** | alpha 2.8610
  ep11 train loss 0.6735 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0043** | alpha 2.8610
  ep12 train loss 0.6751 acc -0.0001 | val 头内Δacc +0.0000 **全局Δacc +0.0029** | alpha 2.8610
  ep13 train loss 0.6737 acc -0.0001 | val 头内Δacc +0.0000 **全局Δacc +0.0029** | alpha 2.8610
  ep14 train loss 0.6747 acc -0.0002 | val 头内Δacc -0.0000 **全局Δacc +0.0070** | alpha 2.8610
  ep15 train loss 0.6738 acc -0.0002 | val 头内Δacc +0.0000 **全局Δacc +0.0094** | alpha 2.8610
