训练 8 篇 / 验证 2 篇

=== memoryless　参数 4.5K ===
  ep0 train loss 0.6902 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0042** | alpha 2.8610
  ep1 train loss 0.6881 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0025** | alpha 2.8610
  ep2 train loss 0.6845 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0004** | alpha 2.8610
  ep3 train loss 0.6801 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0018** | alpha 2.8610
  ep4 train loss 0.6774 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0011** | alpha 2.8610
  ep5 train loss 0.6751 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0003** | alpha 2.8610
  ep6 train loss 0.6727 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0008** | alpha 2.8610
  ep7 train loss 0.6724 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0005** | alpha 2.8610
  ep8 train loss 0.6713 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0003** | alpha 2.8610
  ep9 train loss 0.6715 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0036** | alpha 2.8610
  ep10 train loss 0.6706 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0032** | alpha 2.8610
  ep11 train loss 0.6707 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0049** | alpha 2.8610
  ep12 train loss 0.6707 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0062** | alpha 2.8610
  ep13 train loss 0.6697 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0051** | alpha 2.8610
  ep14 train loss 0.6696 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0062** | alpha 2.8610
  ep15 train loss 0.6695 acc -0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0095** | alpha 2.8610
