训练 23 篇 / 验证 7 篇

=== stateful　参数 637.8K ===
  ep0 train loss 0.7596 acc 0.0057 | val 头内Δacc +0.0074 **全局Δacc +0.0124** | alpha 0.9990
  ep1 train loss 0.7593 acc 0.0050 | val 头内Δacc +0.0050 **全局Δacc +0.0090** | alpha 0.9990
  ep2 train loss 0.7596 acc 0.0047 | val 头内Δacc +0.0049 **全局Δacc +0.0107** | alpha 0.9990
  ep3 train loss 0.7574 acc 0.0050 | val 头内Δacc +0.0048 **全局Δacc +0.0107** | alpha 0.9990
  ep4 train loss 0.7576 acc 0.0052 | val 头内Δacc +0.0048 **全局Δacc +0.0113** | alpha 0.9990
  ep5 train loss 0.7555 acc 0.0047 | val 头内Δacc +0.0048 **全局Δacc +0.0095** | alpha 0.9990
  ep6 train loss 0.7517 acc 0.0063 | val 头内Δacc +0.0065 **全局Δacc +0.0098** | alpha 0.9990
  ep7 train loss 0.7481 acc 0.0074 | val 头内Δacc +0.0080 **全局Δacc +0.0093** | alpha 0.9990
  ep8 train loss 0.7448 acc 0.0085 | val 头内Δacc +0.0082 **全局Δacc +0.0112** | alpha 0.9990
  ep9 train loss 0.7419 acc 0.0101 | val 头内Δacc +0.0097 **全局Δacc +0.0114** | alpha 0.9990
  ep10 train loss 0.7400 acc 0.0120 | val 头内Δacc +0.0111 **全局Δacc +0.0116** | alpha 0.9990
  ep11 train loss 0.7386 acc 0.0131 | val 头内Δacc +0.0122 **全局Δacc +0.0116** | alpha 0.9990
