训练 23 篇 / 验证 7 篇

=== stateful　参数 637.8K ===
  ep0 train loss 0.7628 acc 0.0044 | val 头内Δacc +0.0033 **全局Δacc +0.0108** | alpha 0.9990
  ep1 train loss 0.7620 acc 0.0019 | val 头内Δacc +0.0014 **全局Δacc +0.0079** | alpha 0.9990
  ep2 train loss 0.7619 acc 0.0020 | val 头内Δacc +0.0023 **全局Δacc +0.0110** | alpha 0.9990
  ep3 train loss 0.7596 acc 0.0044 | val 头内Δacc +0.0040 **全局Δacc +0.0117** | alpha 0.9990
  ep4 train loss 0.7573 acc 0.0040 | val 头内Δacc +0.0036 **全局Δacc +0.0126** | alpha 0.9990
  ep5 train loss 0.7536 acc 0.0047 | val 头内Δacc +0.0052 **全局Δacc +0.0122** | alpha 0.9990
  ep6 train loss 0.7495 acc 0.0065 | val 头内Δacc +0.0073 **全局Δacc +0.0131** | alpha 0.9990
  ep7 train loss 0.7467 acc 0.0081 | val 头内Δacc +0.0081 **全局Δacc +0.0129** | alpha 0.9990
  ep8 train loss 0.7436 acc 0.0098 | val 头内Δacc +0.0106 **全局Δacc +0.0133** | alpha 0.9990
  ep9 train loss 0.7414 acc 0.0109 | val 头内Δacc +0.0104 **全局Δacc +0.0136** | alpha 0.9990
  ep10 train loss 0.7364 acc 0.0131 | val 头内Δacc +0.0121 **全局Δacc +0.0145** | alpha 0.9990
  ep11 train loss 0.7359 acc 0.0137 | val 头内Δacc +0.0144 **全局Δacc +0.0136** | alpha 0.9990
  ep12 train loss 0.7339 acc 0.0153 | val 头内Δacc +0.0151 **全局Δacc +0.0146** | alpha 0.9990
  ep13 train loss 0.7320 acc 0.0164 | val 头内Δacc +0.0159 **全局Δacc +0.0143** | alpha 0.9990
  ep14 train loss 0.7299 acc 0.0181 | val 头内Δacc +0.0171 **全局Δacc +0.0147** | alpha 0.9990
  ep15 train loss 0.7289 acc 0.0200 | val 头内Δacc +0.0188 **全局Δacc +0.0145** | alpha 0.9990
  ep16 train loss 0.7260 acc 0.0215 | val 头内Δacc +0.0197 **全局Δacc +0.0151** | alpha 0.9990
  ep17 train loss 0.7251 acc 0.0227 | val 头内Δacc +0.0211 **全局Δacc +0.0145** | alpha 0.9990
  ep18 train loss 0.7239 acc 0.0236 | val 头内Δacc +0.0220 **全局Δacc +0.0150** | alpha 0.9990
  ep19 train loss 0.7232 acc 0.0249 | val 头内Δacc +0.0234 **全局Δacc +0.0162** | alpha 0.9990
  ep20 train loss 0.7212 acc 0.0261 | val 头内Δacc +0.0241 **全局Δacc +0.0159** | alpha 0.9990
  ep21 train loss 0.7208 acc 0.0272 | val 头内Δacc +0.0253 **全局Δacc +0.0147** | alpha 0.9990
  ep22 train loss 0.7198 acc 0.0278 | val 头内Δacc +0.0252 **全局Δacc +0.0159** | alpha 0.9990
  ep23 train loss 0.7194 acc 0.0286 | val 头内Δacc +0.0265 **全局Δacc +0.0155** | alpha 0.9990
  ep24 train loss 0.7180 acc 0.0295 | val 头内Δacc +0.0267 **全局Δacc +0.0170** | alpha 0.9990
  ep25 train loss 0.7179 acc 0.0298 | val 头内Δacc +0.0275 **全局Δacc +0.0160** | alpha 0.9990
  ep26 train loss 0.7170 acc 0.0305 | val 头内Δacc +0.0275 **全局Δacc +0.0172** | alpha 0.9990
  ep27 train loss 0.7172 acc 0.0311 | val 头内Δacc +0.0283 **全局Δacc +0.0165** | alpha 0.9990
  ep28 train loss 0.7158 acc 0.0318 | val 头内Δacc +0.0285 **全局Δacc +0.0160** | alpha 0.9990
  ep29 train loss 0.7161 acc 0.0317 | val 头内Δacc +0.0289 **全局Δacc +0.0161** | alpha 0.9990
  ep30 train loss 0.7147 acc 0.0328 | val 头内Δacc +0.0293 **全局Δacc +0.0173** | alpha 0.9990
  ep31 train loss 0.7143 acc 0.0330 | val 头内Δacc +0.0306 **全局Δacc +0.0172** | alpha 0.9990
  ep32 train loss 0.7141 acc 0.0336 | val 头内Δacc +0.0303 **全局Δacc +0.0179** | alpha 0.9990
  ep33 train loss 0.7143 acc 0.0341 | val 头内Δacc +0.0311 **全局Δacc +0.0182** | alpha 0.9990
  ep34 train loss 0.7123 acc 0.0347 | val 头内Δacc +0.0311 **全局Δacc +0.0175** | alpha 0.9990
  ep35 train loss 0.7126 acc 0.0351 | val 头内Δacc +0.0316 **全局Δacc +0.0165** | alpha 0.9990
  ep36 train loss 0.7125 acc 0.0350 | val 头内Δacc +0.0319 **全局Δacc +0.0186** | alpha 0.9990
  ep37 train loss 0.7109 acc 0.0359 | val 头内Δacc +0.0327 **全局Δacc +0.0184** | alpha 0.9990
  ep38 train loss 0.7118 acc 0.0363 | val 头内Δacc +0.0327 **全局Δacc +0.0189** | alpha 0.9990
  ep39 train loss 0.7108 acc 0.0369 | val 头内Δacc +0.0329 **全局Δacc +0.0182** | alpha 0.9990

=== memoryless　参数 637.8K ===
  ep0 train loss 0.7627 acc 0.0078 | val 头内Δacc +0.0081 **全局Δacc +0.0071** | alpha 0.9990
